9,4,650,182,2,15,0.875,4.125,10.2916666667,1
2,1,724,183,2,30,0.5625,3.375,7.125,1
7,4,194,181,2,9,0.125,3.0625,6.77083333333,1
9,34,110,174,2,0,0.375,2.75,8.625,1
9,2,342,186,2,7,0.6875,2.0625,3.72916666667,1
5,18,7,178,3,8,5.0625,1.1875,7.45833333333,1
1,36,91,183,3,3,5.1875,0.5,11.4375,1
6,11,1892,117,3,29,13.125,12.125,50.75,1
1,15,1928,116,3,23,11.375,10.3125,55.6666666667,1
10,14,2164,114,3,32,13.3125,7.3125,49.0625,1
2,16,1732,114,2,38,19.9375,15.3125,47.75,1
5,13,85,187,2,1,3.0625,6.875,13.8958333333,1
2,5,66,185,2,2,2.0625,7.375,20.5833333333,1
2,18,1996,117,3,37,18.1875,14.0625,58.3333333333,1
4,23,2205,119,3,39,14.1875,8.0625,62.9375,1
5,10,61,162,2,3,5.75,2.0,18.2708333333,1
4,9,40,161,2,23,2.3125,5.3125,40.1666666667,1
0,2,13,132,3,0,5.4375,3.0625,26.9166666667,1
0,25,3209,150,3,43,19.0,22.875,44.3958333333,1
16,26,3257,157,4,32,21.75,15.9375,29.9375,1
10,13,706,163,2,20,9.5625,6.75,20.8958333333,1
6,9,727,172,3,29,10.375,5.25,19.0,1
9,5,612,188,3,25,11.75,5.375,22.4375,1
6,26,3496,159,3,36,17.3125,17.0,18.8541666667,1
8,27,3527,158,3,45,15.625,19.0,20.4791666667,1
11,27,3134,156,3,46,20.875,18.5,33.0208333333,1
13,9,13,180,2,22,6.875,6.9375,5.83333333333,1
7,8,862,155,3,23,14.6875,11.125,42.7916666667,1
16,11,570,157,3,21,17.5,4.8125,37.9791666667,1
0,4,372,168,3,23,6.5,4.8125,8.95833333333,1
6,9,835,163,3,25,17.5,0.8125,22.8125,1
3,1,564,166,3,11,10.5,1.6875,8.25,1
0,0,204,208,2,17,6.875,6.375,20.5416666667,1
5,3,132,214,2,12,7.0625,5.75,19.5416666667,1
3,0,332,206,2,33,18.1875,3.5625,45.5625,1
3,3,794,203,2,15,10.0625,8.125,28.5208333333,1
19,2,377,172,2,57,14.0625,6.375,44.8958333333,1
22,3,428,175,2,51,10.8125,2.9375,32.0208333333,1
15,11,382,167,2,48,11.6875,1.9375,31.3541666667,1
12,3,377,147,2,30,4.8125,4.375,14.4375,1
1,2,370,161,2,24,2.625,4.125,11.9583333333,1
3,6,429,160,2,21,2.25,2.1875,5.0625,1
11,6,656,209,3,38,13.5625,18.9375,38.1041666667,1
13,2,649,215,3,22,15.0625,20.625,41.4583333333,1
3,4,272,213,2,55,4.75,4.0625,21.2083333333,1
2,1,177,213,2,46,4.0625,11.0625,35.3958333333,1
1,4,133,202,2,46,3.3125,8.6875,27.6666666667,1
3,1,251,209,2,27,5.375,4.25,23.8125,1
4,2,433,180,2,19,1.5625,4.0,2.9375,1
4,2,202,181,2,26,1.4375,1.25,4.77083333333,1
11,8,416,184,2,40,4.9375,3.75,14.4375,1
12,11,528,180,2,16,6.625,2.5625,0.604166666667,1
6,15,143,160,2,9,4.3125,8.0,3.5,1
10,7,461,167,2,16,3.6875,8.875,6.54166666667,1
11,6,221,164,2,16,4.5,9.0625,1.9375,1
7,12,340,167,2,7,3.5,7.375,5.27083333333,1
10,9,194,168,3,12,7.9375,9.125,28.1458333333,1
6,4,293,162,3,44,9.0,7.875,31.2708333333,1
8,5,17,212,2,13,8.6875,3.5,24.3333333333,1
0,7,346,215,2,18,10.4375,5.375,33.0625,1
27,4,7,211,2,30,2.75,5.1875,8.29166666667,1
31,2,107,211,2,2,4.75,8.4375,30.5833333333,1
5,6,53,147,3,23,7.4375,1.0,12.1666666667,1
0,9,54,147,3,4,10.3125,4.625,5.54166666667,1
3,12,1097,170,2,2,2.5,7.875,3.9375,1
5,6,813,159,2,1,1.4375,9.875,3.75,1
1,8,1290,162,2,24,0.0,8.125,13.25,1
5,19,640,218,2,12,5.5625,9.0,21.4791666667,1
5,3,173,207,3,5,9.375,7.5,34.7083333333,1
3,6,58,221,3,15,7.125,6.5625,27.2083333333,1
5,1,790,212,2,22,8.625,11.625,35.625,1
5,13,909,203,2,11,7.625,7.6875,20.3958333333,1
5,8,228,178,3,20,6.4375,35.3125,84.4791666667,1
4,11,292,186,3,2,7.3125,39.1875,96.4583333333,1
9,0,71,193,3,24,7.5625,34.6875,87.4583333333,1
8,2,424,177,3,13,7.0625,40.5625,98.2291666667,1
6,1,202,182,2,9,6.6875,35.625,92.25,1
0,4,29,204,3,12,3.25,31.375,75.0208333333,1
4,4,100,187,2,12,6.3125,31.0,82.7916666667,1
1,4,405,184,2,5,7.25,40.25,105.104166667,1
6,52,1313,141,2,4,14.3125,11.9375,29.7083333333,1
